# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.6864000000         1.0000  33
        5.1800000000         1.0000  51
        5.1244000000         1.0000  52
        4.8030000000         1.0000  47
        3.6526000000         1.0000  44
        3.3654000000         1.0000  35
        2.9879000000         1.0000  36
        2.7777000000         1.0000  31
        2.6352000000         1.0000  53
        2.3680000000         1.0000  46
        2.1602000000         2.0000  30,34
        1.9499000000         3.0000  42,49,48
        1.8093333333         3.0000  50,37,60
        1.6386000000         3.0000  45,40,59
        1.4776000000         3.0000  57,61,58
        1.2975500000         2.0000  54,38
        1.1177000000         1.0000  43
        1.0041000000         3.0000  41,56,55
        0.8583500000         2.0000  65,63
        0.7406000000         1.0000  64
        0.6521000000         1.0000  39
